model,n_seed_pairs,v5_93task_capability,combined_103task_capability,combined_103task_sd,per_seed,note
Claude Sonnet 4,2,0.6075,0.6165,0.0069,0.6214;0.6117,"v6 leg uses capability scoring (budget/round gates excused), as in tab:v6"
DeepSeek V3.2,3,0.5627,0.5793,0.0392,0.6019;0.6019;0.5340,"v6 leg uses capability scoring (budget/round gates excused), as in tab:v6"
GLM-5,3,0.5018,0.5243,0.0257,0.5049;0.5534;0.5146,"v6 leg uses capability scoring (budget/round gates excused), as in tab:v6"
Gemini 2.5 Pro,3,0.4803,0.4919,0.0392,0.4563;0.5340;0.4854,"v6 leg uses capability scoring (budget/round gates excused), as in tab:v6"
Qwen3-235B,3,0.4122,0.4434,0.0498,0.3883;0.4854;0.4563,"v6 leg uses capability scoring (budget/round gates excused), as in tab:v6"
GPT-4o,3,0.4158,0.4369,0.0257,0.4272;0.4660;0.4175,"v6 leg uses capability scoring (budget/round gates excused), as in tab:v6"
GPT-OSS-120B,3,0.3405,0.3269,0.0056,0.3301;0.3301;0.3204,"v6 leg uses capability scoring (budget/round gates excused), as in tab:v6"
Llama 4 Scout,3,0.2688,0.2589,0.0312,0.2718;0.2233;0.2816,"v6 leg uses capability scoring (budget/round gates excused), as in tab:v6"
Gemma-3-27B,3,0.1577,0.1456,0.0097,0.1553;0.1359;0.1456,"v6 leg uses capability scoring (budget/round gates excused), as in tab:v6"
