model,n_obs,accuracy_capability,accuracy_raw,comparison_cap,comparison_raw,control_V6_05_cap,control_V6_05_raw,note
vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,30,0.733,0.367,0.778,0.222,0.667,0.000,capability excuses cost/rounds gates; raw is strict pass
vertex_ai/zai-org/glm-5-maas,30,0.733,0.367,0.833,0.333,1.000,0.333,capability excuses cost/rounds gates; raw is strict pass
vertex_ai/deepseek-ai/deepseek-v3.2-maas,30,0.733,0.267,0.833,0.167,1.000,0.000,capability excuses cost/rounds gates; raw is strict pass
openrouter/anthropic/claude-sonnet-4,30,0.733,0.200,0.833,0.000,1.000,0.000,capability excuses cost/rounds gates; raw is strict pass
openrouter/openai/gpt-4o,30,0.633,0.500,0.722,0.500,0.667,0.667,capability excuses cost/rounds gates; raw is strict pass
vertex_ai/gemini-2.5-pro,30,0.600,0.600,0.667,0.667,1.000,1.000,capability excuses cost/rounds gates; raw is strict pass
vertex_ai/openai/gpt-oss-120b-maas,30,0.200,0.200,0.111,0.111,0.000,0.000,capability excuses cost/rounds gates; raw is strict pass
vertex_ai/meta/llama-4-scout-17b-16e-instruct-maas,30,0.167,0.133,0.111,0.056,0.000,0.000,capability excuses cost/rounds gates; raw is strict pass
openrouter/google/gemma-3-27b-it,30,0.033,0.033,0.000,0.000,0.000,0.000,capability excuses cost/rounds gates; raw is strict pass
