model,comparison,cross_indicator,deep_dive,error_handling,error_recovery,habitat_analysis,interpretation,language,memory,multi_municipality_ranking,municipality,province_aggregation,ranking,single_analysis,spatial_reasoning,temporal_change,threshold,tool_selection
Claude Sonnet 4,0.0000,0.9375,0.5000,0.5000,0.5000,1.0000,0.3571,0.7500,1.0000,0.3333,1.0000,0.7500,0.5000,0.5000,0.7500,0.5000,0.8333,0.3333
DeepSeek V3.2,0.3333,0.8333,0.3889,0.4444,0.4444,0.7143,0.2857,0.7778,0.8889,0.7778,1.0000,0.1667,0.3333,1.0000,0.8333,0.0000,0.8889,0.3016
GLM-5,0.0000,0.8750,0.3333,0.4444,0.6667,0.8095,0.1905,0.6111,0.8333,0.2222,0.9167,0.5000,0.6667,0.3333,0.4167,0.3333,0.7778,0.2698
Gemini 2.5 Pro,0.0000,0.5833,0.3889,0.7222,0.5556,0.8571,0.2381,0.6111,0.7778,0.1111,0.6667,0.6667,0.0000,0.1667,0.3333,0.0000,0.6667,0.3651
GPT-4o,0.3333,0.2500,0.4444,0.4444,0.3333,0.7619,0.2381,0.6111,0.7778,0.3333,0.5833,0.6667,0.6667,1.0000,0.1667,0.0000,1.0000,0.1270
Qwen3-235B,0.0000,0.5417,0.5556,0.4444,0.4444,0.7619,0.1429,0.3889,0.8333,0.4444,0.5833,0.0000,0.1667,0.5000,0.2500,0.3333,1.0000,0.1746
GPT-OSS-120B,0.5000,0.2917,0.0556,0.3333,0.2222,0.5238,0.1429,0.7222,0.7222,0.1111,0.2500,0.5000,0.0000,0.5000,0.1667,0.0000,0.8889,0.2540
Llama 4 Scout,0.0000,0.2917,0.0556,0.3889,0.6667,0.2857,0.0952,0.7778,0.7222,0.1111,0.6667,0.1667,0.0000,0.6667,0.0833,0.0000,0.0000,0.0635
Gemma-3-27B,0.0000,0.0833,0.0000,0.5000,0.2222,0.1429,0.0952,0.3889,0.1667,0.1111,0.5000,0.0000,0.0000,0.1667,0.0833,0.0000,0.4444,0.0476
